unidade;ano;mes;setor_centro_custo;paciente_dia
CHPB;2019,0;1,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;707,0
CHPB;2019,0;1,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;83,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 1;248,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;69,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 3;248,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;729,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 3;513,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;589,0
CHPB;2019,0;1,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;582,0
CHPB;2019,0;2,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;672,0
CHPB;2019,0;2,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;83,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 1;224,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;81,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 3;177,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;667,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 3;460,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;523,0
CHPB;2019,0;2,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;509,0
CHPB;2019,0;3,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;499,0
CHPB;2019,0;3,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;77,0
CHPB;2019,0;3,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 1;248,0
CHPB;2019,0;3,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;109,0
CHPB;2019,0;3,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 3;227,0
CHPB;2019,0;3,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;702,0
CHPB;2019,0;3,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 3;527,0
CHPB;2019,0;3,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;540,0
CHPB;2019,0;3,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;584,0
CHPB;2019,0;4,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;481,0
CHPB;2019,0;4,0;UIC - UNIDADE INTERCORRENCIAS CLINICAS;73,0
CHPB;2019,0;4,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 1;240,0
CHPB;2019,0;4,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 2;120,0
CHPB;2019,0;4,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA CASA LAR 3;210,0
CHPB;2019,0;4,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;676,0
CHPB;2019,0;4,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 3;507,0
CHPB;2019,0;4,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 4;529,0
CHPB;2019,0;4,0;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;570,0
CHPB;2019,0;5,0;CAC - CENTRO DE ACOLHIMENTO DE CRISE;566,0
